data,venda,estoque,preco
12-05-2016,134,213,1.89
13-05-2016,132,81,1.89
14-05-2016,1,80,1.89
15-05-2016,0,80,0
16-05-2016,0,80,2.59
17-05-2016,0,2383,2.59
18-05-2016,110,2262,2.59
19-05-2016,81,2181,2.59
20-05-2016,112,2069,2.59
21-05-2016,186,2069,2.59
22-05-2016,113,1770,2.59
23-05-2016,86,1684,2.59
24-05-2016,59,1817,2.59
25-05-2016,94,5946,2.59
26-05-2016,167,5779,2.59
27-05-2016,244,5535,2.59
28-05-2016,261,5273,2.59
29-05-2016,187,5085,2.59
30-05-2016,115,4970,2.59
31-05-2016,139,4831,2.59
01-06-2016,273,4558,2.59
02-06-2016,235,4323,2.59
03-06-2016,172,4151,2.59
04-06-2016,323,3828,2.59
05-06-2016,336,3492,2.59
06-06-2016,127,3365,2.59
07-06-2016,137,3228,2.59
08-06-2016,249,2979,2.59
09-06-2016,201,2778,2.59
10-06-2016,271,2507,1.81
11-06-2016,512,2187,1.65
12-06-2016,317,1870,1.66
13-06-2016,224,1646,1.66
14-06-2016,239,1407,1.63
15-06-2016,377,1182,1.63
